POSTE;DATE;RR;QRR;DRR;QDRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TMNX;QTMNX;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;TAMPLI;QTAMPLI;TNTXM;QTNTXM;PMERM;QPMERM;PMERMIN;QPMERMIN;FFM;QFFM;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXY;QFXY;DXY;QDXY;HXY;QHXY;FF2M;QFF2M;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;UN;QUN;HUN;QHUN;UX;QUX;HUX;QHUX;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;TSVM;QTSVM;DHUMEC;QDHUMEC;UM;QUM;INST;QINST;GLOT;QGLOT;DIFT;QDIFT;DIRT;QDIRT;SIGMA;QSIGMA;INFRART;QINFRART;UV_INDICEX;QUV_INDICEX;NB300;QNB300;BA300;QBA300;NEIG;QNEIG;BROU;QBROU;ORAG;QORAG;GRESIL;QGRESIL;GRELE;QGRELE;ROSEE;QROSEE;VERGLAS;QVERGLAS;SOLNEIGE;QSOLNEIGE;GELEE;QGELEE;FUMEE;QFUMEE;BRUME;QBRUME;ECLAIR;QECLAIR;ETPMON;QETPMON;ETPGRILLE;QETPGRILLE;UV;QUV;TMERMAX;QTMERMAX;TMERMIN;QTMERMIN;HNEIGEF;QHNEIGEF;NEIGETOTX;QNEIGETOTX;NEIGETOT06;QNEIGETOT06
69029001;20220408;0,4;1;51;9;11,7;1;321;9;19,0;1;1611;9;14,7;1;15,35;1;10,1;9;10,4;9;0;9;7,3;1;15,4;1;1006,4;1;1002,7;9;6,9;1;21,6;1;270;9;2155;9;13,2;1;260;9;2158;9;;;;;;;;;20,1;1;;;2155;9;37;1;1948;9;84;1;321;9;95;9;313;9;10,3;9;;;63;1;132;9;815;9;;;;;17;9;;;;;;;;;0;9;0;9;;;;;;;;;;;;;;;0;9;0;9;;;4,1;9;3,9;9;;;;;;;;;0;9;0;9
69029001;20220409;1,2;1;129;9;3,6;1;520;9;11,6;1;1411;9;6,5;1;7,60;1;1,7;9;2,8;9;0;9;8,0;1;7,6;1;1017,7;1;1009,6;1;3,8;1;17,4;1;310;1;13;9;11,8;1;310;1;213;9;;;;;;;;;15,4;1;;;13;9;46;1;1353;9;98;1;2312;9;0;9;504;9;7,0;9;;;73;1;261;9;1452;9;;;;;33;9;;;;;;;;;0;9;0;9;;;;;;;;;0;1;;;;;0;9;1;9;;;2,5;9;2,3;9;;;;;;;;;0;9;0;9
69029001;20220410;0,0;1;0;9;-0,9;1;502;9;15,0;1;1553;9;7,2;1;7,05;1;-5,3;9;-3,8;9;178;9;15,9;1;7,1;1;1020,4;1;1017,5;1;1,4;1;8,3;1;300;1;1049;9;3,7;1;360;1;1042;9;;;;;;;;;7,2;1;;;1222;9;28;1;1547;9;99;1;608;9;214;9;642;9;6,6;9;;;70;1;745;9;2357;9;;;;;95;9;;;;;;;;;0;9;1;9;;;;;;;;;1;9;;;;;0;9;1;9;;;2,3;9;2,4;9;;;;;;;;;0;9;0;9
69029001;20220411;0,0;1;0;9;1,6;1;208;9;18,0;1;1509;9;12,3;1;9,80;1;-2,2;9;-0,6;9;0;9;16,4;1;9,8;1;1014,8;1;1012,7;1;8,3;1;24,7;1;190;1;1225;9;15,8;1;180;1;1333;9;;;;;;;;;22,9;1;;;1225;9;30;1;1450;9;92;1;152;9;236;9;122;9;7,0;9;;;51;1;585;9;1954;9;;;;;74;9;;;;;;;;;0;9;0;9;;;;;;;;;;;;;;;0;9;0;9;;;3,8;9;4,3;9;;;;;;;;;0;9;0;9
69029001;20220412;0,0;1;0;9;12,2;1;115;9;19,2;1;1312;9;15,7;1;15,70;1;10,6;9;11,5;9;0;9;7,0;1;15,7;1;1012,5;1;1011,2;1;6,1;1;22,6;1;190;1;41;9;11,1;1;180;1;141;9;;;;;;;;;20,0;1;;;41;9;25;1;734;9;53;1;2130;9;970;9;0;9;6,5;9;;;37;1;123;9;1086;9;;;;;16;9;;;;;;;;;0;9;0;9;;;;;;;;;0;9;;;0;9;0;9;0;9;;;6,2;9;6,2;9;;;;;;;;;0;9;0;9
69029001;20220413;0,0;1;0;9;8,9;1;540;9;20,8;1;1219;9;14,4;1;14,85;1;4,6;9;6,6;9;0;9;11,9;1;14,9;1;1016,6;1;1014,2;1;2,0;1;8,5;1;160;1;127;9;5,1;1;160;1;111;9;;;;;;;;;7,5;1;;;127;9;32;1;1352;9;91;1;0;9;196;9;153;9;9,6;9;;;61;1;244;9;1578;9;;;;;31;9;;;;;;;;;0;9;0;9;;;;;;;;;;;;;0;9;0;9;0;9;;;3,7;9;3,9;9;;;;;;;;;0;9;0;9
69029001;20220414;0,0;1;0;9;8,8;1;26;9;22,3;1;1509;9;16,4;1;15,55;1;3,2;9;5,4;9;0;9;13,5;1;15,6;1;1020,0;1;1018,2;1;3,9;1;12,2;1;320;1;1248;9;6,9;1;360;1;1434;9;;;;;;;;;10,0;1;;;1248;9;46;1;1337;9;91;1;30;9;0;9;374;9;12,3;9;;;68;1;731;9;2202;9;;;;;92;9;;;;;;;;;0;9;0;9;;;;;;;;;;;;;;;0;9;0;9;;;3,5;9;3,6;9;;;;;;;;;0;9;0;9
69029001;20220415;0,0;1;0;9;10,6;1;335;9;23,1;1;1357;9;17,3;1;16,85;1;5,1;9;8,0;9;0;9;12,5;1;16,9;1;1021,8;1;1020,2;1;4,4;1;11,7;1;320;1;1501;9;7,6;1;340;1;1502;9;;;;;;;;;10,8;1;;;1300;9;43;1;1536;9;82;1;323;9;0;9;51;9;11,8;9;;;60;1;699;9;2220;9;;;;;87;9;;;;;;;;;0;9;0;9;;;;;;;;;0;9;;;0;9;0;9;0;9;;;4,5;9;4,5;9;;;;;;;;;0;9;0;9
69029001;20220416;0,0;1;0;9;11,8;1;409;9;22,2;1;1415;9;16,0;1;17,00;1;8,0;9;10,3;9;0;9;10,4;1;17,0;1;1020,7;1;1018,5;1;6,2;1;17,2;1;330;1;1328;9;12,3;1;340;1;1711;9;;;;;;;;;16,3;1;;;1710;9;29;1;1542;9;73;1;403;9;194;9;0;9;9,9;9;;;55;1;754;9;2401;9;;;;;94;9;;;;;;;;;0;9;0;9;;;;;;;;;0;9;;;0;9;0;9;0;9;;;5,8;9;5,4;9;;;;;;;;;0;9;0;9
69029001;20220417;0,0;1;0;9;5,0;1;457;9;19,1;1;1549;9;12,1;1;12,05;1;-0,6;9;1,6;9;0;9;14,1;1;12,1;1;1019,2;1;1016,2;1;2,4;1;8,1;1;340;1;24;9;5,6;1;330;1;4;9;;;;;;;;;7,7;1;;;24;9;36;1;1449;9;80;1;2329;9;302;9;2;9;7,7;9;;;57;1;771;9;2458;9;;;;;96;9;;;;;;;;;0;9;0;9;;;;;;;;;0;9;;;0;9;0;9;0;9;;;3,7;9;3,8;9;;;;;;;;;0;9;0;9
